further_vals
-0.223563289
-0.10703255
-0.187093959
-0.110472831
-0.170005673
-0.089734812
-0.327648779
-0.108736439
-0.093421111
-0.067453071
-0.614511105
-0.20606075
-0.101391508
-0.148332219
-0.048399994
-0.227427351
-0.364095601
-0.354166676
-0.188014562
-0.058072791
-0.27035418
-0.31976332
-0.225847036
-0.410270304
-0.298287448
